iter	Passed	Remaining
0	243	24087
1	333	16330
2	425	13761
3	516	12392
4	604	11491
5	694	10877
6	777	10323
7	859	9884
8	954	9646
9	1033	9302
10	1114	9016
11	1206	8848
12	1336	8947
13	1480	9096
14	1601	9072
15	1708	8969
16	1811	8842
17	1935	8818
18	2158	9203
19	2329	9317
20	2464	9272
21	2632	9333
22	2796	9363
23	2949	9340
24	3097	9292
25	3273	9315
26	3463	9363
27	3578	9201
28	3710	9084
29	3812	8896
30	3911	8706
31	4043	8593
32	4157	8440
33	4286	8320
34	4383	8140
35	4481	7967
36	4597	7827
37	4713	7691
38	4812	7527
39	4909	7364
40	5010	7210
41	5129	7084
42	5233	6937
43	5364	6827
44	5466	6681
45	5589	6562
46	5721	6451
47	5821	6306
48	5917	6159
49	6040	6040
50	6143	5902
51	6263	5781
52	6383	5660
53	6489	5528
54	6584	5387
55	6682	5250
56	6806	5134
57	6912	5005
58	7010	4871
59	7108	4739
60	7206	4607
61	7300	4474
62	7408	4350
63	7520	4230
64	7609	4097
65	7710	3972
66	7810	3846
67	7894	3715
68	8000	3594
69	8109	3475
70	8196	3347
71	8298	3227
72	8390	3103
73	8480	2979
74	8587	2862
75	8686	2743
76	8802	2629
77	8883	2505
78	8964	2383
79	9063	2265
80	9161	2149
81	9247	2029
82	9327	1910
83	9400	1790
84	9503	1677
85	9595	1562
86	9666	1444
87	9762	1331
88	9839	1216
89	9937	1104
90	10018	990
91	10123	880
92	10219	769
93	10309	658
94	10405	547
95	10501	437
96	10577	327
97	10668	217
98	10773	108
99	10862	0
