iter	Logloss
0	0.5442011845
1	0.4499063165
2	0.3891230272
3	0.3551363155
4	0.3249691232
5	0.3068523775
6	0.2906591455
7	0.2802795533
8	0.2691507908
9	0.2610566778
10	0.2539474641
11	0.2486245808
12	0.2428509018
13	0.238533703
14	0.2342108892
15	0.2299643715
16	0.2270980777
17	0.2239385644
18	0.2215744793
19	0.2193752595
20	0.2174952682
21	0.2155836708
22	0.2139212318
23	0.2113813008
24	0.2097665256
25	0.2084809361
26	0.2067501664
27	0.2053266052
28	0.2040405385
29	0.2027314888
30	0.2015801655
31	0.2004649839
32	0.1993772896
33	0.1982786785
34	0.1975228355
35	0.1967224461
36	0.1957323615
37	0.1945262759
38	0.1937333527
39	0.1929773396
40	0.1922669238
41	0.1915929115
42	0.1909304138
43	0.1901672473
44	0.189585808
45	0.188984716
46	0.18807976
47	0.1873354887
48	0.1869299767
49	0.1863160101
50	0.1857267862
51	0.1848577786
52	0.1842204013
53	0.1837829865
54	0.1833644678
55	0.1828421485
56	0.182374309
57	0.1817860331
58	0.1812818909
59	0.1808557423
60	0.1802813852
61	0.1798826778
62	0.179493732
63	0.1789760413
64	0.1786772109
65	0.1783144329
66	0.177983648
67	0.1776293033
68	0.177207355
69	0.1766776759
70	0.1763419975
71	0.176105128
72	0.1758082156
73	0.1755120952
74	0.1750386249
75	0.1746907231
76	0.1742976126
77	0.173989231
78	0.1737767803
79	0.173448531
80	0.1729425733
81	0.1726426897
82	0.1723518928
83	0.1720366677
84	0.1716385411
85	0.1714017736
86	0.1712674036
87	0.1709380428
88	0.1706701278
89	0.1704310472
90	0.1700643707
91	0.169631069
92	0.1693525532
93	0.1691332443
94	0.1688850979
95	0.1685868569
96	0.1683192659
97	0.1681482252
98	0.1679190966
99	0.16761798
